kf, mse, mae, mape, r2, acc, bal_acc
1,0.0010573699206789184,0.02369585226148685,0.0352835164914583,0.3397332136345814,0.4,0.3333333333333333
1,0.0009600498219437764,0.027609252250116012,0.040852227417287904,0.4005040258015844,0.6,0.6666666666666666
1,0.0011808395044710408,0.029653107440393112,0.04338447199440523,0.2626335499218515,0.6,0.6666666666666666
1,0.0021529788375867125,0.03172524038274538,0.04612672653864609,-0.34441162965311856,0.4,0.3333333333333333
1,0.0009313536683328589,0.02535144022695317,0.03697486824362951,0.4184231255936073,0.6,0.6666666666666666
2,0.0023329887772641847,0.045162361258538855,0.06546066058173607,0.3707589928593644,0.4,0.5
2,0.0027511475274765917,0.03913362159636844,0.05439921117660991,0.25797549570217737,0.4,0.5
2,0.0021892951841211653,0.038986199492486606,0.055162279234325026,0.4095152449897327,0.6,0.6666666666666666
2,0.003376407655870563,0.04422810613540042,0.062407027382625546,0.08933374450743825,0.4,0.5
2,0.004139006856804997,0.05681429445174564,0.08141356606697418,-0.11635035218304868,0.2,0.3333333333333333
3,0.0017448027956889077,0.03394617483391722,0.04976493711312114,-0.1542817641339338,0.6,0.6666666666666666
3,0.0021784872183168436,0.03643617079033812,0.05348388809549327,-0.4411875518053301,0.6,0.6666666666666666
3,0.0016679937360046149,0.034031963746405026,0.04962937689863488,-0.10346840165370663,0.6,0.6666666666666666
3,0.001991566104474578,0.036854440424584946,0.05387189762677865,-0.31752908818248793,0.6,0.6666666666666666
3,0.0014337488286274476,0.03280558035149535,0.04853162552198477,0.05149732031486087,0.6,0.6666666666666666
4,0.00344590182969247,0.04490953792531738,0.06390535037596393,-0.16963628490421168,0.0,0.0
4,0.001482412701732888,0.029522210057354736,0.04301783514125817,0.4968273123136503,0.4,0.5
4,0.0034279089013019965,0.04890507568319091,0.07105143965210092,-0.1635289774539994,0.2,0.16666666666666666
4,0.003187443572387402,0.042265070571496574,0.06035394973364792,-0.08190826164125786,0.2,0.16666666666666666
4,0.0024237812205543637,0.03644726752750242,0.05401050852304755,0.17730028238128703,0.6,0.6666666666666666
5,0.0007966089765254023,0.025588721659887702,0.03771102324752096,0.5510406425404721,0.4,0.5
5,0.0012969324704278308,0.028053628027710033,0.04297557185659737,0.2690642639612415,0.6,0.6666666666666666
5,0.0008014116950536808,0.02352098921802983,0.03577242668033562,0.5483338874221458,0.6,0.5
5,0.0018506139962107316,0.032802997648986885,0.04716116102617642,-0.042984067626665734,0.4,0.5
5,0.0011901147451042285,0.031906390759240774,0.047260274887481656,0.32926546522782507,0.4,0.5
6,0.0016067961494330787,0.032966831156060805,0.0471350293649508,-0.029532179949981918,0.4,0.5
6,0.0011873370410102366,0.025964903500341772,0.03692018360539266,0.23923038239920713,0.6,0.6666666666666666
6,0.0017406135569735105,0.037972178884790056,0.0552319298870335,-0.11527381391454217,0.0,0.0
6,0.002822331900841923,0.04688351435308229,0.06958398478949093,-0.8083697271999093,0.2,0.16666666666666666
6,0.004163279738605131,0.04728087467794191,0.07251119071330028,-1.6675633163173993,0.6,0.5
7,0.002481512397889268,0.0394295609496643,0.062167781932637126,-0.994207767307361,0.4,0.5
7,0.003043793881006943,0.045375798418383795,0.07145752581286818,-1.4460717604109758,0.4,0.5
7,0.005518124756652319,0.06550973482356567,0.10251332739814223,-3.4345082700562592,0.2,0.3333333333333333
7,0.0026989754174044514,0.039461134149890144,0.06212912468048541,-1.1689666937540553,0.4,0.5
7,0.004124830060120007,0.05773335523829957,0.08912178162822784,-2.314820490806697,0.4,0.5
8,0.002961234976344933,0.033567568097412084,0.04722021941252492,-0.38480189938794873,0.6,0.5
8,0.0019906998860418027,0.02999800439259035,0.04249873548987702,0.06906239953146143,0.4,0.3333333333333333
8,0.0021549785586763666,0.03789370513340455,0.05550616639846837,-0.007761432319286055,0.4,0.3333333333333333
8,0.002096491358082765,0.028038590602886916,0.039661094469306116,0.019589719183008336,0.8,0.6666666666666666
8,0.0026274636715107142,0.04081699026614376,0.05947198767232231,-0.2287159620719832,0.4,0.3333333333333333
